domain,profile,modelID,measurementCount,meanNIS,medianNIS,p95NIS,nisCoverage95,nis95Threshold
real_adsb,baseline,ca_ekf,15904,0.0637351626686007,0.0223658466027188,0.228799017273132,1,7.81472790325118
real_adsb,baseline,ct_ekf,15904,0.194310030794397,0.0311020649392881,0.659058569570509,0.997736418511066,7.81472790325118
real_adsb,baseline,cv_ekf,15904,0.195897126798413,0.0294628717908367,0.633595882414747,0.997422032193159,7.81472790325118
real_adsb,baseline,native_imm,15904,0.0436367785432654,0.0193746384189445,0.169054888909219,1,7.81472790325118
real_adsb,baseline,warm_ukf,15904,0.640241856862291,0.232013632526603,1.90575736096874,0.993146378269618,7.81472790325118
real_adsb,burst_outage,ca_ekf,12724,0.065024229148117,0.0222467518519439,0.227661571796692,1,7.81472790325118
real_adsb,burst_outage,ct_ekf,12724,0.211392294912604,0.0315665419459288,0.68632924659337,0.99693492612386,7.81472790325118
real_adsb,burst_outage,cv_ekf,12724,0.213514935459225,0.0299728159897053,0.667766209700476,0.996541967934612,7.81472790325118
real_adsb,burst_outage,native_imm,12724,0.0427015934420938,0.0187665678283405,0.166817720595614,1,7.81472790325118
real_adsb,burst_outage,warm_ukf,12724,0.750371174518048,0.269992126806518,2.22650380433366,0.990647595095882,7.81472790325118
real_adsb,random_dropout_10,ca_ekf,14266,0.0659364170367623,0.022690117453501,0.237261281926228,1,7.81472790325118
real_adsb,random_dropout_10,ct_ekf,14266,0.210843884594787,0.0321511288752515,0.734961900559732,0.996985840459835,7.81472790325118
real_adsb,random_dropout_10,cv_ekf,14266,0.212687062486113,0.0305097937360172,0.701513683824389,0.996635356792373,7.81472790325118
real_adsb,random_dropout_10,native_imm,14266,0.0431588893403807,0.0192642971108148,0.16616291299243,1,7.81472790325118
real_adsb,random_dropout_10,warm_ukf,14266,0.684107150870328,0.246064746681616,2.08655528519977,0.99306042338427,7.81472790325118
real_adsb,random_dropout_25,ca_ekf,11894,0.0711140668558882,0.0230712439977177,0.254381983197448,1,7.81472790325118
real_adsb,random_dropout_25,ct_ekf,11894,0.244877172299748,0.0347952478151103,0.810706176205072,0.995375819741046,7.81472790325118
real_adsb,random_dropout_25,cv_ekf,11894,0.247189599103367,0.032832504231069,0.78836309662791,0.994955439717505,7.81472790325118
real_adsb,random_dropout_25,native_imm,11894,0.0436631547541559,0.019024581931048,0.169038113297318,1,7.81472790325118
real_adsb,random_dropout_25,warm_ukf,11894,0.799330599582271,0.279093537573903,2.4236111628418,0.989154195392635,7.81472790325118
synthetic_canonical,degraded,ca_ekf,534,2.62233629056299,2.02993495807706,6.74956830273408,0.975655430711611,7.81472790325118
synthetic_canonical,degraded,ct_ekf,534,4.80435185992396,2.74062624416037,14.322852440142,0.880149812734082,7.81472790325118
synthetic_canonical,degraded,cv_ekf,534,5.28606797530218,2.81540316995659,16.7644158431293,0.867041198501873,7.81472790325118
synthetic_canonical,degraded,native_imm,534,2.27845801549306,1.73361626921447,6.01301820160308,0.98689138576779,7.81472790325118
synthetic_canonical,degraded,warm_ukf,534,3.1080611770427,2.37737897767704,8.44325182456991,0.940074906367041,7.81472790325118
synthetic_canonical,empirical_timing,ca_ekf,727,0.0998865159487278,3.22114649089406e-09,0.150782919071111,0.998624484181568,7.81472790325118
synthetic_canonical,empirical_timing,ct_ekf,727,1.74538309565227,5.33760456826793e-06,9.82917678433901,0.931224209078404,7.81472790325118
synthetic_canonical,empirical_timing,cv_ekf,727,2.08823989904468,9.27526336488152e-10,12.6627245653289,0.920220082530949,7.81472790325118
synthetic_canonical,empirical_timing,native_imm,727,0.03942087377763,0.000182499790298362,0.237574454819395,1,7.81472790325118
synthetic_canonical,empirical_timing,warm_ukf,727,1.29821877432424,0.712610291106959,4.67422281562625,0.982118294360385,7.81472790325118
synthetic_canonical,ideal,ca_ekf,1680,0.0583134529654861,3.73524245746569e-09,0.0626927812725218,1,7.81472790325118
synthetic_canonical,ideal,ct_ekf,1680,0.766915516645482,6.25304612419261e-07,5.48503501616175,1,7.81472790325118
synthetic_canonical,ideal,cv_ekf,1680,0.915674282985447,1.43999985320629e-12,6.34179750083767,1,7.81472790325118
synthetic_canonical,ideal,native_imm,1680,0.0305501524855531,1.76195690460709e-05,0.151011541441791,1,7.81472790325118
synthetic_canonical,ideal,warm_ukf,1680,0.711120132344108,0.589084291757814,1.95986698327957,1,7.81472790325118
synthetic_in_distribution,degraded,ca_ekf,2179,3.03199620182335,2.33931053084296,7.76652927810974,0.952271684258834,7.81472790325118
synthetic_in_distribution,degraded,ct_ekf,2179,15.0104146202168,4.83902287088496,61.3247091334445,0.635612666360716,7.81472790325118
synthetic_in_distribution,degraded,cv_ekf,2179,15.1422997680175,4.41926982951312,58.8123741124609,0.653510784763653,7.81472790325118
synthetic_in_distribution,degraded,native_imm,2179,2.43329138202319,1.87906276897751,6.59024729701592,0.971546581000459,7.81472790325118
synthetic_in_distribution,degraded,warm_ukf,2179,5.79834680293764,3.59773580979051,17.7657084090467,0.798531436438733,7.81472790325118
synthetic_in_distribution,empirical_timing,ca_ekf,2933,0.635588558300808,0.00500924699410581,2.0500815390265,0.981588816911013,7.81472790325118
synthetic_in_distribution,empirical_timing,ct_ekf,2933,10.3203943142973,1.1522675045424,47.4935330391779,0.753835663143539,7.81472790325118
synthetic_in_distribution,empirical_timing,cv_ekf,2933,10.4581908604377,0.319647045865019,48.4567931830655,0.747016706443914,7.81472790325118
synthetic_in_distribution,empirical_timing,native_imm,2933,0.165228400099946,0.0340412241137314,0.710591627217871,0.999318104330038,7.81472790325118
synthetic_in_distribution,empirical_timing,warm_ukf,2933,4.15451902670389,1.42969518037462,13.7894502590264,0.898056597340607,7.81472790325118
synthetic_in_distribution,ideal,ca_ekf,7200,0.327417672055286,0.00250419811566501,0.756297376857618,0.989722222222222,7.81472790325118
synthetic_in_distribution,ideal,ct_ekf,7200,4.24644751914671,0.700834061047549,21.5407922205265,0.850416666666667,7.81472790325118
synthetic_in_distribution,ideal,cv_ekf,7200,4.30240423004004,0.271294812472017,22.0460952315529,0.80875,7.81472790325118
synthetic_in_distribution,ideal,native_imm,7200,0.129583199054444,0.0336971211817142,0.465552832181355,1,7.81472790325118
synthetic_in_distribution,ideal,warm_ukf,7200,1.59298780085378,1.01493361838865,5.43038195554962,0.981388888888889,7.81472790325118
synthetic_out_of_distribution,degraded,ca_ekf,1183,43.9515156040523,10.4732214674614,190.903552884649,0.448013524936602,7.81472790325118
synthetic_out_of_distribution,degraded,ct_ekf,1183,282.507888140776,40.3873900307363,1188.84312307695,0.215553677092139,7.81472790325118
synthetic_out_of_distribution,degraded,cv_ekf,1183,284.337082861581,33.7047519498639,1202.81531221561,0.30938292476754,7.81472790325118
synthetic_out_of_distribution,degraded,native_imm,1183,3.74618019239398,2.5092968679237,10.3232796661195,0.896027049873204,7.81472790325118
synthetic_out_of_distribution,degraded,warm_ukf,1183,51.5760948737636,9.9427394725113,213.160923277051,0.435333896872358,7.81472790325118
synthetic_out_of_distribution,empirical_timing,ca_ekf,1544,94.975047221996,6.52331378840742,434.821223081186,0.521373056994819,7.81472790325118
synthetic_out_of_distribution,empirical_timing,ct_ekf,1544,397.252369349371,36.7969131193339,1797.63243205591,0.234455958549223,7.81472790325118
synthetic_out_of_distribution,empirical_timing,cv_ekf,1544,401.0667868172,12.8931117989138,1974.97216229844,0.448186528497409,7.81472790325118
synthetic_out_of_distribution,empirical_timing,native_imm,1544,5.83867618447425,0.945976950363176,25.8616718225661,0.854274611398964,7.81472790325118
synthetic_out_of_distribution,empirical_timing,warm_ukf,1544,47.0157788968875,7.45482185846236,163.742271377347,0.505829015544041,7.81472790325118
synthetic_out_of_distribution,ideal,ca_ekf,3600,48.6741240781813,3.07593607759203,220.377685001581,0.587222222222222,7.81472790325118
synthetic_out_of_distribution,ideal,ct_ekf,3600,176.282473886302,15.3379989324026,873.990858565733,0.326111111111111,7.81472790325118
synthetic_out_of_distribution,ideal,cv_ekf,3600,178.599760476025,5.61972589057566,934.62529573737,0.535277777777778,7.81472790325118
synthetic_out_of_distribution,ideal,native_imm,3600,3.84637651709302,1.05703023395139,15.6698305676643,0.900277777777778,7.81472790325118
synthetic_out_of_distribution,ideal,warm_ukf,3600,19.4017622940335,3.12409760895679,95.5267775874393,0.642777777777778,7.81472790325118
