domain,profile,caseID,eventID,modelID,estimateStage,motionMode,sampleCount,positionRMSEMeters,positionMedianErrorMeters,positionP95ErrorMeters,velocityRMSEMetersPerSecond,velocityMedianErrorMetersPerSecond,velocityP95ErrorMetersPerSecond
synthetic_canonical,degraded,cv_level__degraded,synthetic_canonical::cv_level__degraded,native_imm,prior,constant_velocity,240,60.4300947885817,41.6808928911173,115.762587225446,13.5415688645165,9.06199190585524,25.9595357521038
synthetic_canonical,degraded,cv_level__degraded,synthetic_canonical::cv_level__degraded,native_imm,posterior,constant_velocity,240,54.8677494121232,36.6752989555431,104.870424237215,12.7560055770386,8.67460211764416,23.9529359481466
synthetic_canonical,degraded,cv_level__degraded,synthetic_canonical::cv_level__degraded,warm_ukf,prior,constant_velocity,240,160.986870484385,39.8361863575469,392.814424147595,11.7332574291487,10.0627718309179,18.8661754508229
synthetic_canonical,degraded,cv_level__degraded,synthetic_canonical::cv_level__degraded,warm_ukf,posterior,constant_velocity,240,108.343980310942,35.9993135986309,350.077406703474,11.7855936764174,10.1171921714454,19.1591409946779
synthetic_canonical,ideal,cv_climb__ideal,synthetic_canonical::cv_climb__ideal,cv_ekf,prior,constant_velocity_climb,240,0,0,0,0,0,0
synthetic_canonical,ideal,cv_climb__ideal,synthetic_canonical::cv_climb__ideal,cv_ekf,posterior,constant_velocity_climb,240,0,0,0,0,0,0
synthetic_canonical,ideal,cv_climb__ideal,synthetic_canonical::cv_climb__ideal,ca_ekf,prior,constant_velocity_climb,240,0,0,0,0,0,0
synthetic_canonical,ideal,cv_climb__ideal,synthetic_canonical::cv_climb__ideal,ca_ekf,posterior,constant_velocity_climb,240,0,0,0,0,0,0
synthetic_canonical,ideal,cv_climb__ideal,synthetic_canonical::cv_climb__ideal,ct_ekf,prior,constant_velocity_climb,240,6.81544083155989e-14,0,2.8421709430404e-14,4.68281265982773e-13,2.98427949019242e-13,1.00186525742174e-12
synthetic_canonical,ideal,cv_climb__ideal,synthetic_canonical::cv_climb__ideal,ct_ekf,posterior,constant_velocity_climb,240,1.23496197651073e-15,0,0,4.6302005487443e-13,2.91322521661641e-13,9.87654402706539e-13
synthetic_canonical,ideal,cv_climb__ideal,synthetic_canonical::cv_climb__ideal,native_imm,prior,constant_velocity_climb,240,0.0100925956570978,0.00363236058605673,0.0051903028081117,0.000141789028038735,3.20941548477018e-05,3.22493292531232e-05
synthetic_canonical,ideal,cv_climb__ideal,synthetic_canonical::cv_climb__ideal,native_imm,posterior,constant_velocity_climb,240,2.83715679595384e-12,1.87497136067471e-12,5.184764129822e-12,4.67735339253042e-12,2.83108095010706e-12,8.49151319301229e-12
synthetic_canonical,ideal,cv_climb__ideal,synthetic_canonical::cv_climb__ideal,warm_ukf,prior,constant_velocity_climb,240,236.586304768304,10.3858646709046,25.9929572579312,38.6639679137805,40.1002599353226,48.49701869427
synthetic_canonical,ideal,cv_climb__ideal,synthetic_canonical::cv_climb__ideal,warm_ukf,posterior,constant_velocity_climb,240,0.0530448560949757,0.0520521932764604,0.0702616421682903,38.6369414867102,39.9543349858067,48.5672410329802
synthetic_canonical,empirical_timing,cv_climb__empirical_timing,synthetic_canonical::cv_climb__empirical_timing,cv_ekf,prior,constant_velocity_climb,240,0,0,0,0,0,0
synthetic_canonical,empirical_timing,cv_climb__empirical_timing,synthetic_canonical::cv_climb__empirical_timing,cv_ekf,posterior,constant_velocity_climb,240,0,0,0,0,0,0
synthetic_canonical,empirical_timing,cv_climb__empirical_timing,synthetic_canonical::cv_climb__empirical_timing,ca_ekf,prior,constant_velocity_climb,240,0,0,0,0,0,0
synthetic_canonical,empirical_timing,cv_climb__empirical_timing,synthetic_canonical::cv_climb__empirical_timing,ca_ekf,posterior,constant_velocity_climb,240,0,0,0,0,0,0
synthetic_canonical,empirical_timing,cv_climb__empirical_timing,synthetic_canonical::cv_climb__empirical_timing,ct_ekf,prior,constant_velocity_climb,240,7.29547252534005e-14,0,5.6843418860808e-14,4.6888194165738e-13,2.98427949019242e-13,1.00186525742174e-12
synthetic_canonical,empirical_timing,cv_climb__empirical_timing,synthetic_canonical::cv_climb__empirical_timing,ct_ekf,posterior,constant_velocity_climb,240,1.88940693069549e-14,0,0,4.63603044817239e-13,2.98427949019242e-13,9.87654402706539e-13
synthetic_canonical,empirical_timing,cv_climb__empirical_timing,synthetic_canonical::cv_climb__empirical_timing,native_imm,prior,constant_velocity_climb,240,0.134790897678633,0.0102685549734418,0.254390163974735,0.00119224239247074,0.000113590729605875,0.00207697514402869
synthetic_canonical,empirical_timing,cv_climb__empirical_timing,synthetic_canonical::cv_climb__empirical_timing,native_imm,posterior,constant_velocity_climb,240,0.114391950952313,0.00121929587298315,0.194413236071241,0.00101330288393277,1.17226960585553e-05,0.00161756648537692
synthetic_canonical,empirical_timing,cv_climb__empirical_timing,synthetic_canonical::cv_climb__empirical_timing,warm_ukf,prior,constant_velocity_climb,240,266.62271858899,15.4060869595003,229.127216198983,23.0869503348589,23.8177202443516,27.5106672179814
synthetic_canonical,empirical_timing,cv_climb__empirical_timing,synthetic_canonical::cv_climb__empirical_timing,warm_ukf,posterior,constant_velocity_climb,240,219.861912421755,4.12643353956728,62.3889826834151,22.8916452593089,23.5790528601678,27.320102237794
synthetic_canonical,degraded,cv_climb__degraded,synthetic_canonical::cv_climb__degraded,cv_ekf,prior,constant_velocity_climb,240,28.5742016208022,26.1335233755182,43.9991314428214,3.50248871854623,2.46980798482507,7.9984728653074
synthetic_canonical,degraded,cv_climb__degraded,synthetic_canonical::cv_climb__degraded,cv_ekf,posterior,constant_velocity_climb,240,27.3341201547482,24.9901706248055,41.8938559013338,3.49146902553108,2.46980798482507,7.9984728653074
synthetic_canonical,degraded,cv_climb__degraded,synthetic_canonical::cv_climb__degraded,ca_ekf,prior,constant_velocity_climb,240,48.8476296352932,40.6853275514055,87.2151875313318,10.4500958148189,8.80960621412663,16.7128198127065
synthetic_canonical,degraded,cv_climb__degraded,synthetic_canonical::cv_climb__degraded,ca_ekf,posterior,constant_velocity_climb,240,44.5282091753699,36.7852691930078,80.018786811077,9.92909507818313,8.33531169651161,15.787610612707
