domain,profile,modelID,estimateStage,targetReference,sampleCount,eventCount,positionRMSEMeters,positionMedianErrorMeters,positionP95ErrorMeters,velocityRMSEMetersPerSecond,velocityMedianErrorMetersPerSecond,velocityP95ErrorMetersPerSecond,meanNEES,stateCoverage95,positionCoverage95,divergenceCount,invalidCovarianceCount
real_adsb,baseline,ca_ekf,posterior,adsb_scoring_proxy,3988,40,27.3891630027921,5.98558343804597,20.2409715273936,3.69101303730073,1.71673823993868,6.12801449394779,NaN,NaN,NaN,0,0
real_adsb,baseline,ca_ekf,prior,adsb_scoring_proxy,3988,40,27.3891630027921,5.98558343804597,20.2409715273936,3.69101303730073,1.71673823993868,6.12801449394779,NaN,NaN,NaN,0,0
real_adsb,baseline,ct_ekf,posterior,adsb_scoring_proxy,3988,40,20.117829821725,6.64227377351664,31.5553416405461,4.68081126701156,1.65928393130851,8.45863073194481,NaN,NaN,NaN,0,0
real_adsb,baseline,ct_ekf,prior,adsb_scoring_proxy,3988,40,20.117829821725,6.64227377351664,31.5553416405461,4.68081126701156,1.65928393130851,8.45863073194481,NaN,NaN,NaN,0,0
real_adsb,baseline,cv_ekf,posterior,adsb_scoring_proxy,3988,40,20.9901661980604,6.49366243936924,30.8961746432416,4.7253128878437,1.6513210739446,8.28820579168018,NaN,NaN,NaN,0,0
real_adsb,baseline,cv_ekf,prior,adsb_scoring_proxy,3988,40,20.9901661980604,6.49366243936924,30.8961746432416,4.7253128878437,1.6513210739446,8.28820579168018,NaN,NaN,NaN,0,0
real_adsb,baseline,native_imm,posterior,adsb_scoring_proxy,3988,40,11.6159543236826,5.59467770946674,17.7441319291131,2.56900887243196,1.52874942472461,4.7869524606303,NaN,NaN,NaN,0,0
real_adsb,baseline,native_imm,prior,adsb_scoring_proxy,3988,40,11.6159543236826,5.59467770946674,17.7441319291131,2.56900887243196,1.52874942472461,4.7869524606303,NaN,NaN,NaN,0,0
real_adsb,baseline,warm_ukf,posterior,adsb_scoring_proxy,3988,40,239.391914723431,18.5283743867416,90.364953439576,14.6889831502841,10.3891911467453,28.0188991972084,NaN,NaN,NaN,0,0
real_adsb,baseline,warm_ukf,prior,adsb_scoring_proxy,3988,40,239.391914723431,18.5283743867416,90.364953439576,14.6889831502841,10.3891911467453,28.0188991972084,NaN,NaN,NaN,0,0
real_adsb,burst_outage,ca_ekf,posterior,adsb_scoring_proxy,3988,40,501.725940617242,7.30594761037411,411.273563549255,19.7145629017748,2.05516035932006,17.552739944823,NaN,NaN,NaN,0,0
real_adsb,burst_outage,ca_ekf,prior,adsb_scoring_proxy,3988,40,501.725940617242,7.30594761037411,411.273563549255,19.7145629017748,2.05516035932006,17.552739944823,NaN,NaN,NaN,0,0
real_adsb,burst_outage,ct_ekf,posterior,adsb_scoring_proxy,3988,40,307.636812379805,8.34751708994301,372.120339978442,10.3492156890815,1.93029867054129,19.0424591170947,NaN,NaN,NaN,0,0
real_adsb,burst_outage,ct_ekf,prior,adsb_scoring_proxy,3988,40,307.636812379805,8.34751708994301,372.120339978442,10.3492156890815,1.93029867054129,19.0424591170947,NaN,NaN,NaN,0,0
real_adsb,burst_outage,cv_ekf,posterior,adsb_scoring_proxy,3988,40,316.745491527277,8.17567608273068,312.91150054549,10.5619795146226,1.88484703886583,18.5896916394033,NaN,NaN,NaN,0,0
real_adsb,burst_outage,cv_ekf,prior,adsb_scoring_proxy,3988,40,316.745491527277,8.17567608273068,312.91150054549,10.5619795146226,1.88484703886583,18.5896916394033,NaN,NaN,NaN,0,0
real_adsb,burst_outage,native_imm,posterior,adsb_scoring_proxy,3988,40,167.187979341152,6.69812424207893,267.080054244374,7.45316385247863,1.77671467285598,12.1552248771733,NaN,NaN,NaN,0,0
real_adsb,burst_outage,native_imm,prior,adsb_scoring_proxy,3988,40,167.187979341152,6.69812424207893,267.080054244374,7.45316385247863,1.77671467285598,12.1552248771733,NaN,NaN,NaN,0,0
real_adsb,burst_outage,warm_ukf,posterior,adsb_scoring_proxy,3988,40,4035.38735982395,24.2159299343321,4840.93566547073,32.9870188652837,11.492674801937,45.5635293782722,NaN,NaN,NaN,0,0
real_adsb,burst_outage,warm_ukf,prior,adsb_scoring_proxy,3988,40,4035.38735982395,24.2159299343321,4840.93566547073,32.9870188652837,11.492674801937,45.5635293782722,NaN,NaN,NaN,0,0
real_adsb,random_dropout_10,ca_ekf,posterior,adsb_scoring_proxy,3988,40,28.6782553556283,6.12341338574227,21.6031365978036,3.85192377393034,1.75684752830264,6.17513792446213,NaN,NaN,NaN,0,0
real_adsb,random_dropout_10,ca_ekf,prior,adsb_scoring_proxy,3988,40,28.6782553556283,6.12341338574227,21.6031365978036,3.85192377393034,1.75684752830264,6.17513792446213,NaN,NaN,NaN,0,0
real_adsb,random_dropout_10,ct_ekf,posterior,adsb_scoring_proxy,3988,40,22.0849687701398,6.86724147850737,32.7742338454964,4.87189860833238,1.68383623953024,8.55102195569667,NaN,NaN,NaN,0,0
real_adsb,random_dropout_10,ct_ekf,prior,adsb_scoring_proxy,3988,40,22.0849687701398,6.86724147850737,32.7742338454964,4.87189860833238,1.68383623953024,8.55102195569667,NaN,NaN,NaN,0,0
real_adsb,random_dropout_10,cv_ekf,posterior,adsb_scoring_proxy,3988,40,22.8625165742187,6.6608704036176,32.8672906566103,4.91532441113487,1.67267913098379,8.57060071739329,NaN,NaN,NaN,0,0
real_adsb,random_dropout_10,cv_ekf,prior,adsb_scoring_proxy,3988,40,22.8625165742187,6.6608704036176,32.8672906566103,4.91532441113487,1.67267913098379,8.57060071739329,NaN,NaN,NaN,0,0
real_adsb,random_dropout_10,native_imm,posterior,adsb_scoring_proxy,3988,40,13.427456526182,5.68401040161218,18.3372946283106,2.69983060717515,1.54950342583595,4.92137310826341,NaN,NaN,NaN,0,0
real_adsb,random_dropout_10,native_imm,prior,adsb_scoring_proxy,3988,40,13.427456526182,5.68401040161218,18.3372946283106,2.69983060717515,1.54950342583595,4.92137310826341,NaN,NaN,NaN,0,0
real_adsb,random_dropout_10,warm_ukf,posterior,adsb_scoring_proxy,3988,40,293.140515383896,19.2202933476918,115.484939933117,15.0761732156668,10.5783733980366,27.2965176464961,NaN,NaN,NaN,0,0
real_adsb,random_dropout_10,warm_ukf,prior,adsb_scoring_proxy,3988,40,293.140515383896,19.2202933476918,115.484939933117,15.0761732156668,10.5783733980366,27.2965176464961,NaN,NaN,NaN,0,0
real_adsb,random_dropout_25,ca_ekf,posterior,adsb_scoring_proxy,3988,40,31.7150167071996,6.40946434327565,22.5848564545461,4.02981068885202,1.79449174169384,6.61367520701994,NaN,NaN,NaN,0,0
real_adsb,random_dropout_25,ca_ekf,prior,adsb_scoring_proxy,3988,40,31.7150167071996,6.40946434327565,22.5848564545461,4.02981068885202,1.79449174169384,6.61367520701994,NaN,NaN,NaN,0,0
real_adsb,random_dropout_25,ct_ekf,posterior,adsb_scoring_proxy,3988,40,26.6237397480995,7.28659782565984,35.2744981138753,5.09589009586938,1.74293679575827,9.25013392777952,NaN,NaN,NaN,0,0
real_adsb,random_dropout_25,ct_ekf,prior,adsb_scoring_proxy,3988,40,26.6237397480995,7.28659782565984,35.2744981138753,5.09589009586938,1.74293679575827,9.25013392777952,NaN,NaN,NaN,0,0
real_adsb,random_dropout_25,cv_ekf,posterior,adsb_scoring_proxy,3988,40,28.9491556226526,7.12330165112403,34.6922553775646,5.16659838692277,1.71267785279443,9.13821193209642,NaN,NaN,NaN,0,0
real_adsb,random_dropout_25,cv_ekf,prior,adsb_scoring_proxy,3988,40,28.9491556226526,7.12330165112403,34.6922553775646,5.16659838692277,1.71267785279443,9.13821193209642,NaN,NaN,NaN,0,0
