relativeSourceFile,sourceFileSHA256,sessionID,campaignID,captureTimeUtc,receiverOriginSource,legacy_pre3day_v1,campaign_3day_increment_v1,expanded_post3day_v2
adsb_archive/adsb_archive/testing_machine/captures/stage4B_3Day_nohup_20260819T132526Z_w093_20260821T112740Z/truth/0_20260821_072741_adsb_stage4B_3Day_nohup_20260819T132526Z_w093_20260821T112740Z.txt.gz,6AC37A015860CD02BDF3520E0993824C1724A1DA5412DB373F3F1C35F3F3DBB8,stage4B_3Day_nohup_20260819T132526Z_w093_20260821T112740Z,stage4B_3Day_nohup_20260819T132526Z,21-Aug-2026 11:27:40,session_manifest,0,1,1
adsb_archive/adsb_archive/testing_machine/captures/stage4B_3Day_nohup_20260819T132526Z_w094_20260821T115740Z/truth/0_20260821_075741_adsb_stage4B_3Day_nohup_20260819T132526Z_w094_20260821T115740Z.txt.gz,8CE325D66C828BB2DD4855FCD5FE24AAEFE754C6FA2D42A5A9C80C027058C9D8,stage4B_3Day_nohup_20260819T132526Z_w094_20260821T115740Z,stage4B_3Day_nohup_20260819T132526Z,21-Aug-2026 11:57:40,session_manifest,0,1,1
adsb_archive/adsb_archive/testing_machine/captures/stage4B_3Day_nohup_20260819T132526Z_w095_20260821T122740Z/truth/0_20260821_082741_adsb_stage4B_3Day_nohup_20260819T132526Z_w095_20260821T122740Z.txt.gz,33C7DBF6F61413974032C7118DD611D1EF806AA2D16D5952F9E0666509EC3B89,stage4B_3Day_nohup_20260819T132526Z_w095_20260821T122740Z,stage4B_3Day_nohup_20260819T132526Z,21-Aug-2026 12:27:40,session_manifest,0,1,1
adsb_archive/adsb_archive/testing_machine/captures/stage4B_3Day_nohup_20260819T132526Z_w096_20260821T125740Z/truth/0_20260821_085741_adsb_stage4B_3Day_nohup_20260819T132526Z_w096_20260821T125740Z.txt.gz,417003F78BC74B61D6C138EEE0EF782EBCC62C5B1A12DC16C8B779B6885C2666,stage4B_3Day_nohup_20260819T132526Z_w096_20260821T125740Z,stage4B_3Day_nohup_20260819T132526Z,21-Aug-2026 12:57:40,session_manifest,0,1,1
adsb_archive/adsb_archive/testing_machine/captures/stage4B_3Day_nohup_20260819T132526Z_w097_20260821T132740Z/truth/0_20260821_092741_adsb_stage4B_3Day_nohup_20260819T132526Z_w097_20260821T132740Z.txt.gz,A2215D0656376B420B775DE50D29145D9FD3E7BBA6E994DF3D5D663B4B0545F3,stage4B_3Day_nohup_20260819T132526Z_w097_20260821T132740Z,stage4B_3Day_nohup_20260819T132526Z,21-Aug-2026 13:27:40,session_manifest,0,1,1
adsb_archive/adsb_archive/testing_machine/captures/stage4B_3Day_nohup_20260819T132526Z_w098_20260821T135740Z/truth/0_20260821_095741_adsb_stage4B_3Day_nohup_20260819T132526Z_w098_20260821T135740Z.txt.gz,2CE280E540BB68B2454066E752EF5F07E4941EE3CB287616D294262BF9E2D9D7,stage4B_3Day_nohup_20260819T132526Z_w098_20260821T135740Z,stage4B_3Day_nohup_20260819T132526Z,21-Aug-2026 13:57:40,session_manifest,0,1,1
adsb_archive/adsb_archive/testing_machine/captures/stage4B_3Day_nohup_20260819T132526Z_w099_20260821T142740Z/truth/0_20260821_102741_adsb_stage4B_3Day_nohup_20260819T132526Z_w099_20260821T142740Z.txt.gz,2E867BCAC158933E481B1BC29F7E64225AF598158E4180856F8ED61E81CF2546,stage4B_3Day_nohup_20260819T132526Z_w099_20260821T142740Z,stage4B_3Day_nohup_20260819T132526Z,21-Aug-2026 14:27:40,session_manifest,0,1,1
adsb_archive/adsb_archive/testing_machine/captures/stage4B_3Day_nohup_20260819T132526Z_w100_20260821T145740Z/truth/0_20260821_105741_adsb_stage4B_3Day_nohup_20260819T132526Z_w100_20260821T145740Z.txt.gz,9A1CB1E78A5B3799F508434C8B315AAD60D0D159CCEE28113A731E0078E50351,stage4B_3Day_nohup_20260819T132526Z_w100_20260821T145740Z,stage4B_3Day_nohup_20260819T132526Z,21-Aug-2026 14:57:40,session_manifest,0,1,1
adsb_archive/adsb_archive/testing_machine/captures/stage4B_3Day_nohup_20260819T132526Z_w101_20260821T152740Z/truth/0_20260821_112741_adsb_stage4B_3Day_nohup_20260819T132526Z_w101_20260821T152740Z.txt.gz,B036508920B8DB520AB561BED734D717DB19B553A211C6638D06BF7433B739B2,stage4B_3Day_nohup_20260819T132526Z_w101_20260821T152740Z,stage4B_3Day_nohup_20260819T132526Z,21-Aug-2026 15:27:40,session_manifest,0,1,1
adsb_archive/adsb_archive/testing_machine/captures/stage4B_3Day_nohup_20260819T132526Z_w102_20260821T155740Z/truth/0_20260821_115741_adsb_stage4B_3Day_nohup_20260819T132526Z_w102_20260821T155740Z.txt.gz,15BD81EB4BDBABB2E8E86675662680E9A19A87EDFD630D1513D3BAC714C02CEE,stage4B_3Day_nohup_20260819T132526Z_w102_20260821T155740Z,stage4B_3Day_nohup_20260819T132526Z,21-Aug-2026 15:57:40,session_manifest,0,1,1
