Path,AnalysisName,AnalysisDisplayName,PropagationModel,RoiMinLatitude_deg,RoiMaxLatitude_deg,RoiMinLongitude_deg,RoiMaxLongitude_deg,RoiCenterLatitude_deg,RoiCenterLongitude_deg,TargetGridSpacing_deg,TargetHeightAGL_m,ReceiverSiteHeight_m,TransmitterSiteHeight_m,TargetRCS_m2,BistaticInterval_s,NoiseFigure_dB,EffectiveTransmitPower_kW,TargetCount,MeanBistaticSNR_dB,MedianBistaticSNR_dB,MeanTargetPathPower_dBm,MedianTargetPathPower_dBm,MinTargetPathPower_dBm,MaxTargetPathPower_dBm,TargetPathBasis
Newton,RecoveredRoi,recovered-ROI baseline,longley-rice,42.3082,42.5425,-71.5908,-71.0049,42.42535,-71.29785,0.04,1828.8,25,315.468,0.5,5e-06,2.5,1000,84,39.719920069542,37.1146100325758,-67.5623992106799,-70.1677092476461,-78.8043146675959,-38.6284917328344,"Deterministic Longley-Rice rerun over the recovered-ROI baseline; 84 targets on a 0.04 deg grid at 1828.8 m AGL, 0.5 m^2 RCS, 25.0 m receiver site height, and horizontal ERP treated as effective transmitted power for consistency with the retained supporting workflow."
Hudson,RecoveredRoi,recovered-ROI baseline,longley-rice,42.3082,42.5425,-71.5908,-71.0049,42.42535,-71.29785,0.04,1828.8,25,373.6848,0.5,5e-06,2.5,400,84,36.6658661377905,35.38340579797,-70.6164531424314,-71.8989134822519,-84.5694877135505,-51.7049188863835,"Deterministic Longley-Rice rerun over the recovered-ROI baseline; 84 targets on a 0.04 deg grid at 1828.8 m AGL, 0.5 m^2 RCS, 25.0 m receiver site height, and horizontal ERP treated as effective transmitted power for consistency with the retained supporting workflow."
