Path,AnalysisName,AnalysisDisplayName,PropagationModel,RoiMinLatitude_deg,RoiMaxLatitude_deg,RoiMinLongitude_deg,RoiMaxLongitude_deg,RoiCenterLatitude_deg,RoiCenterLongitude_deg,TargetGridSpacing_deg,TargetHeightAGL_m,ReceiverSiteHeight_m,TransmitterSiteHeight_m,TargetRCS_m2,BistaticInterval_s,NoiseFigure_dB,EffectiveTransmitPower_kW,TargetCount,MeanBistaticSNR_dB,MedianBistaticSNR_dB,MeanTargetPathPower_dBm,MedianTargetPathPower_dBm,MinTargetPathPower_dBm,MaxTargetPathPower_dBm,TargetPathBasis
Newton,WestCorridor,due-west surveillance corridor,longley-rice,42.182143,42.416443,-71.8495,-71.3495,42.299293,-71.5995,0.04,1828.8,25,315.468,0.5,5e-06,2.5,1000,78,34.2915071169409,32.5426763689867,-72.9908121632809,-74.7396429112352,-84.8745376174976,-46.1794740091692,"Deterministic Longley-Rice rerun over the due-west surveillance corridor; 78 targets on a 0.04 deg grid at 1828.8 m AGL, 0.5 m^2 RCS, 25.0 m receiver site height, and horizontal ERP treated as effective transmitted power for consistency with the retained supporting workflow. The due-west boresight marker is visual only and is not used as a directional gain term."
Hudson,WestCorridor,due-west surveillance corridor,longley-rice,42.182143,42.416443,-71.8495,-71.3495,42.299293,-71.5995,0.04,1828.8,25,373.6848,0.5,5e-06,2.5,400,78,36.5432712498289,35.6535030328375,-70.739048030393,-71.6288162473843,-84.8774126969549,-51.7049188863835,"Deterministic Longley-Rice rerun over the due-west surveillance corridor; 78 targets on a 0.04 deg grid at 1828.8 m AGL, 0.5 m^2 RCS, 25.0 m receiver site height, and horizontal ERP treated as effective transmitted power for consistency with the retained supporting workflow. The due-west boresight marker is visual only and is not used as a directional gain term."
