Path,CallSign,CurrentOperationalStatus,Distance_km,ERPHorizontal_kW,EIRP_dBm,FreeSpacePathLoss_dB,DirectPathPowerAfterAntenna_dBm
Newton,WHDH-TV / WLVI-TV,Licensed,9.38301700649898,1000,92.15,107.443169739171,-3.29316973917076
Hudson,WUNI,Licensed,15.1266456882848,400,88.1705999132796,110.86566788949,-10.6950679762107
