Path,Role,StationName,CallSign,RFChannel,RFRange_MHz,CenterFrequency_MHz,ERPHorizontal_kW,ERPVertical_kW,Polarization,TowerLatitude_deg,TowerLongitude_deg,ReceiverName,ReceiverLatitude_deg,ReceiverLongitude_deg,ReceiverAntennaGain_dBi,CableLength_ft,CableLossPer100ft_dB,MismatchLoss_dB,HighPassLoss_dB,LNA_Gain_dB,LNA_NF_dB,LNA_OIP3_dBm,USRP_Gain_dB,USRP_NF_dB,USRP_OIP3_dBm,SignalBandwidth_MHz,CurrentOperationalStatus,StatusAsOf,TargetPathPower_dBm,TargetPathBasis
Newton,Primary,WHDH/WLVI shared RF35 source,WHDH-TV / WLVI-TV,35,596-602,599,1000,316,Inferred mixed H/V,42.31028,-71.23667,MathWorks Apple Hill Garage,42.299293,-71.3495,12,75,1.6,0.4,0.3,20,1.5,28,30,6,30,6,Licensed,2026-07-17,-67.5623992106799,"Deterministic Longley-Rice rerun over the recovered-ROI baseline; 84 targets on a 0.04 deg grid at 1828.8 m AGL, 0.5 m^2 RCS, 25.0 m receiver site height, and horizontal ERP treated as effective transmitted power for consistency with the retained supporting workflow."
Hudson,Alternate,Univision Boston source,WUNI,27,548-554,551,400,100,Inferred mixed H/V,42.384083,-71.493139,MathWorks Apple Hill Garage,42.299293,-71.3495,12,75,1.5,0.4,0.3,20,1.4,28,30,6,30,6,Licensed,2026-07-17,-70.6164531424314,"Deterministic Longley-Rice rerun over the recovered-ROI baseline; 84 targets on a 0.04 deg grid at 1828.8 m AGL, 0.5 m^2 RCS, 25.0 m receiver site height, and horizontal ERP treated as effective transmitted power for consistency with the retained supporting workflow."
