variantID,displayName,dimension,regime,pairCount,percent,aircraftCount,trackCount,sessionCount,campaignBlockCount
expanded_post3day_v2,Expanded-3Day,legacy_maneuver_class,constturn_like,10767,2.35137136030993,803,1132,140,3
expanded_post3day_v2,Expanded-3Day,legacy_maneuver_class,mixed_or_sparse,27972,6.10871734843406,1846,2854,153,3
expanded_minus_legacy,Expanded-3Day minus Legacy-16,turn_intensity,<0.5,403895,0.181388742471441,1779,2893,138,3
expanded_minus_legacy,Expanded-3Day minus Legacy-16,turn_intensity,1-3,21744,-0.721084505109036,875,1286,127,3
expanded_minus_legacy,Expanded-3Day minus Legacy-16,turn_intensity,0.5-1,14750,0.38006063849256,1108,1645,131,3
expanded_minus_legacy,Expanded-3Day minus Legacy-16,turn_intensity,>=3,2501,0.159635124145031,238,309,83,3
expanded_minus_legacy,Expanded-3Day minus Legacy-16,acceleration_intensity,0.5-1,34616,-0.235753834175491,1208,1818,132,3
expanded_minus_legacy,Expanded-3Day minus Legacy-16,acceleration_intensity,<0.1,309590,-0.937885681949169,1762,2854,138,3
expanded_minus_legacy,Expanded-3Day minus Legacy-16,acceleration_intensity,0.1-0.5,91255,1.52265065716971,1671,2667,136,3
expanded_minus_legacy,Expanded-3Day minus Legacy-16,acceleration_intensity,>=1,7429,-0.349011141045049,646,877,126,3
expanded_minus_legacy,Expanded-3Day minus Legacy-16,vertical_status,level,149844,-4.12717901397218,1239,1671,137,3
expanded_minus_legacy,Expanded-3Day minus Legacy-16,vertical_status,climb,155595,2.28921196827526,1042,1425,126,3
expanded_minus_legacy,Expanded-3Day minus Legacy-16,vertical_status,descent,137451,1.83796704569692,905,1154,130,3
expanded_minus_legacy,Expanded-3Day minus Legacy-16,update_interval,<0.75,211073,-6.35932176571772,1218,1928,133,3
expanded_minus_legacy,Expanded-3Day minus Legacy-16,update_interval,0.75-2,179951,3.55590549711285,1749,2815,138,3
expanded_minus_legacy,Expanded-3Day minus Legacy-16,update_interval,5-15,12309,0.832681879801255,1643,2505,137,3
expanded_minus_legacy,Expanded-3Day minus Legacy-16,update_interval,2-5,37166,1.75781173531345,1727,2779,138,3
expanded_minus_legacy,Expanded-3Day minus Legacy-16,update_interval,15-30,2391,0.212922653490162,1077,1421,131,3
expanded_minus_legacy,Expanded-3Day minus Legacy-16,legacy_maneuver_class,constacc_like,85359,-1.51732020229267,1560,2421,136,3
expanded_minus_legacy,Expanded-3Day minus Legacy-16,legacy_maneuver_class,constvel_like,319977,0.950390755521639,1755,2837,138,3
expanded_minus_legacy,Expanded-3Day minus Legacy-16,legacy_maneuver_class,constturn_like,10417,0.0200584981238294,751,1076,126,3
expanded_minus_legacy,Expanded-3Day minus Legacy-16,legacy_maneuver_class,mixed_or_sparse,27137,0.546870948647205,1698,2686,137,3
