variantID,displayName,splitStrategy,eventType,split,eventCount
expanded_post3day_v2,Expanded-3Day,aircraft_disjoint,sustained_acceleration,validation,1486
expanded_post3day_v2,Expanded-3Day,aircraft_disjoint,sustained_acceleration,test,1522
expanded_post3day_v2,Expanded-3Day,aircraft_disjoint,sustained_climb,train,1101
expanded_post3day_v2,Expanded-3Day,aircraft_disjoint,sustained_climb,validation,370
expanded_post3day_v2,Expanded-3Day,aircraft_disjoint,sustained_climb,test,370
expanded_post3day_v2,Expanded-3Day,aircraft_disjoint,sustained_descent,train,886
expanded_post3day_v2,Expanded-3Day,aircraft_disjoint,sustained_descent,validation,267
expanded_post3day_v2,Expanded-3Day,aircraft_disjoint,sustained_descent,test,325
expanded_post3day_v2,Expanded-3Day,aircraft_disjoint,sparse_gap,train,9073
expanded_post3day_v2,Expanded-3Day,aircraft_disjoint,sparse_gap,validation,3014
expanded_post3day_v2,Expanded-3Day,aircraft_disjoint,sparse_gap,test,2949
expanded_post3day_v2,Expanded-3Day,chronological_blocked,sustained_turn,train,1028
expanded_post3day_v2,Expanded-3Day,chronological_blocked,sustained_turn,validation,151
expanded_post3day_v2,Expanded-3Day,chronological_blocked,sustained_turn,test,97
expanded_post3day_v2,Expanded-3Day,chronological_blocked,sustained_acceleration,train,5469
expanded_post3day_v2,Expanded-3Day,chronological_blocked,sustained_acceleration,validation,1181
expanded_post3day_v2,Expanded-3Day,chronological_blocked,sustained_acceleration,test,938
expanded_post3day_v2,Expanded-3Day,chronological_blocked,sustained_climb,train,1163
expanded_post3day_v2,Expanded-3Day,chronological_blocked,sustained_climb,validation,368
expanded_post3day_v2,Expanded-3Day,chronological_blocked,sustained_climb,test,310
expanded_post3day_v2,Expanded-3Day,chronological_blocked,sustained_descent,train,996
expanded_post3day_v2,Expanded-3Day,chronological_blocked,sustained_descent,validation,262
expanded_post3day_v2,Expanded-3Day,chronological_blocked,sustained_descent,test,220
expanded_post3day_v2,Expanded-3Day,chronological_blocked,sparse_gap,train,9557
expanded_post3day_v2,Expanded-3Day,chronological_blocked,sparse_gap,validation,2916
expanded_post3day_v2,Expanded-3Day,chronological_blocked,sparse_gap,test,2563
