variantID,displayName,variable,bin,binOrder,sampleCount,percent
campaign_3day_increment_v1,3-Day Campaign Increment,vertical_rate_mps,1-5,5,39851,8.99794531373479
campaign_3day_increment_v1,3-Day Campaign Increment,vertical_rate_mps,5-10,6,74421,16.8034952245479
campaign_3day_increment_v1,3-Day Campaign Increment,vertical_rate_mps,>=10,7,41323,9.33030775136038
campaign_3day_increment_v1,3-Day Campaign Increment,dt_seconds,<0.75,1,211073,47.6581092370566
campaign_3day_increment_v1,3-Day Campaign Increment,dt_seconds,0.75-2,2,179951,40.6310822100296
campaign_3day_increment_v1,3-Day Campaign Increment,dt_seconds,2-5,3,37166,8.39169997064734
campaign_3day_increment_v1,3-Day Campaign Increment,dt_seconds,5-15,4,12309,2.77924541082436
campaign_3day_increment_v1,3-Day Campaign Increment,dt_seconds,15-30,5,2391,0.539863171442119
expanded_post3day_v2,Expanded-3Day,horizontal_speed_mps,<50,1,13493,2.94669395046549
expanded_post3day_v2,Expanded-3Day,horizontal_speed_mps,50-100,2,76888,16.7913291679679
expanded_post3day_v2,Expanded-3Day,horizontal_speed_mps,100-150,3,84470,18.4471383677329
expanded_post3day_v2,Expanded-3Day,horizontal_speed_mps,150-200,4,181699,39.6806747280538
expanded_post3day_v2,Expanded-3Day,horizontal_speed_mps,200-250,5,67154,14.6655514377499
expanded_post3day_v2,Expanded-3Day,horizontal_speed_mps,>=250,6,34199,7.46861234803004
expanded_post3day_v2,Expanded-3Day,altitude_m,<0,1,0,0
expanded_post3day_v2,Expanded-3Day,altitude_m,0-1k,2,48629,10.6199347896825
expanded_post3day_v2,Expanded-3Day,altitude_m,1k-3k,3,128847,28.1384922134164
expanded_post3day_v2,Expanded-3Day,altitude_m,3k-6k,4,134849,29.4492501687039
expanded_post3day_v2,Expanded-3Day,altitude_m,6k-10k,5,96353,21.0422294678131
expanded_post3day_v2,Expanded-3Day,altitude_m,10k-15k,6,49225,10.7500933603842
expanded_post3day_v2,Expanded-3Day,altitude_m,>=15k,7,0,0
expanded_post3day_v2,Expanded-3Day,abs_turn_rate_degps,<0.5,1,417558,91.189181988325
expanded_post3day_v2,Expanded-3Day,abs_turn_rate_degps,0.5-1,2,15191,3.31751484484705
expanded_post3day_v2,Expanded-3Day,abs_turn_rate_degps,1-3,3,22593,4.93401440916526
expanded_post3day_v2,Expanded-3Day,abs_turn_rate_degps,3-10,4,2297,0.501634625673996
expanded_post3day_v2,Expanded-3Day,abs_turn_rate_degps,>=10,5,264,0.0576541319886526
expanded_post3day_v2,Expanded-3Day,abs_horizontal_acceleration_mps2,<0.1,1,320230,69.9340253285084
expanded_post3day_v2,Expanded-3Day,abs_horizontal_acceleration_mps2,0.1-0.5,2,94112,20.5528245065003
expanded_post3day_v2,Expanded-3Day,abs_horizontal_acceleration_mps2,0.5-1,3,35826,7.82392777509647
expanded_post3day_v2,Expanded-3Day,abs_horizontal_acceleration_mps2,1-2,4,7519,1.64205082735863
expanded_post3day_v2,Expanded-3Day,abs_horizontal_acceleration_mps2,2-5,5,212,0.0462980150817968
expanded_post3day_v2,Expanded-3Day,abs_horizontal_acceleration_mps2,>=5,6,4,0.000873547454373524
expanded_post3day_v2,Expanded-3Day,vertical_rate_mps,<-10,1,8151,1.78007132514965
expanded_post3day_v2,Expanded-3Day,vertical_rate_mps,-10--5,2,78273,17.0937949740447
expanded_post3day_v2,Expanded-3Day,vertical_rate_mps,-5--1,3,55401,12.0988506299369
expanded_post3day_v2,Expanded-3Day,vertical_rate_mps,-1-1,4,155564,33.9731340480407
expanded_post3day_v2,Expanded-3Day,vertical_rate_mps,1-5,5,41072,8.96958526150735
expanded_post3day_v2,Expanded-3Day,vertical_rate_mps,5-10,6,76697,16.7496172770216
expanded_post3day_v2,Expanded-3Day,vertical_rate_mps,>=10,7,42745,9.33494648429908
expanded_post3day_v2,Expanded-3Day,dt_seconds,<0.75,1,219215,47.873676302623
expanded_post3day_v2,Expanded-3Day,dt_seconds,0.75-2,2,185499,40.5105448097086
expanded_post3day_v2,Expanded-3Day,dt_seconds,2-5,3,38153,8.33211400667827
expanded_post3day_v2,Expanded-3Day,dt_seconds,5-15,4,12597,2.75101932068582
expanded_post3day_v2,Expanded-3Day,dt_seconds,15-30,5,2439,0.532645560304257
