domain,profile,comparisonFamily,modelID,weighting,caseID,targetReference,sampleCount,eventCount,positionRMSEMeters,positionMedianErrorMeters,positionP95ErrorMeters,velocityRMSEMetersPerSecond,velocityMedianErrorMetersPerSecond,velocityP95ErrorMetersPerSecond,referencePositionRMSEMeters,positionRMSEChangePercent,referenceVelocityRMSEMetersPerSecond,velocityRMSEChangePercent
synthetic_canonical,ideal,same_information,expanded_warm_mean_v1,pair_weighted,all,latent_kinematic_truth,3360,7,14.9407254343853,11.6057797879091,26.1216603454404,1.15231526404145,0.102253357627306,2.76551886777886,14.9407254343853,0,1.15231526404145,0
synthetic_canonical,ideal,same_information,constvel,pair_weighted,all,latent_kinematic_truth,3360,7,0.285948164410107,0,0.684520310506735,1.14379265764041,0,2.73808124202313,0.285948164410107,0,1.14379265764041,0
synthetic_canonical,ideal,causal_history,expanded_warm_mean_v1,pair_weighted,all,latent_kinematic_truth,3353,7,14.9396552343698,11.6057797879091,26.1216603454404,1.15350385457749,0.102527230472592,2.76554523944085,14.9396552343698,0,1.15350385457749,0
synthetic_canonical,ideal,causal_history,constvel,pair_weighted,all,latent_kinematic_truth,3353,7,0.286246493301271,0,0.684520310506763,1.14498597320507,0,2.73808124202313,0.286246493301271,0,1.14498597320507,0
synthetic_canonical,ideal,causal_history,constacc,pair_weighted,all,latent_kinematic_truth,3353,7,0.0291725274646882,0,0.00896028594117801,0.116690109858898,0,0.0358411437572349,0.0291725274646882,0,0.116690109858898,0
synthetic_canonical,ideal,causal_history,constturn,pair_weighted,all,latent_kinematic_truth,3353,7,0.0492480626923009,0,0.106127912690769,0.196502158978915,2.1316282072803e-14,0.418547815149635,0.0492480626923009,0,0.196502158978915,0
synthetic_canonical,empirical_timing,same_information,expanded_warm_mean_v1,pair_weighted,all,latent_kinematic_truth,1372,7,34.8615866648428,9.85992112755626,26.1769443502598,5.217610511035,0.176728342830372,5.48127311920989,14.9407254343853,133.332623760094,1.15231526404145,352.793664533745
synthetic_canonical,empirical_timing,same_information,constvel,pair_weighted,all,latent_kinematic_truth,1372,7,31.4366695555016,4.06738395668033e-12,2.76196071890371,5.22753832288118,0,5.4760451937589,0.285948164410107,10893.835061104,1.14379265764041,357.035485230804
synthetic_canonical,empirical_timing,causal_history,expanded_warm_mean_v1,pair_weighted,all,latent_kinematic_truth,1365,7,34.9426775838726,9.93517561863737,26.1769443502598,5.23094987208735,0.177307562981066,5.48127311920989,14.9396552343698,133.892128270031,1.15350385457749,353.483519047568
synthetic_canonical,empirical_timing,causal_history,constvel,pair_weighted,all,latent_kinematic_truth,1365,7,31.5171733225402,4.06738395668033e-12,2.76196071890371,5.24092512667691,0,5.4760451937589,0.286246493301271,10910.5011100935,1.14498597320507,357.7283258769
