domain,profile,comparisonFamily,modelID,weighting,caseID,targetReference,sampleCount,eventCount,positionRMSEMeters,positionMedianErrorMeters,positionP95ErrorMeters,velocityRMSEMetersPerSecond,velocityMedianErrorMetersPerSecond,velocityP95ErrorMetersPerSecond
synthetic_canonical,degraded,causal_history,constvel,independent_event_weighted,all,latent_kinematic_truth,1024,7,74.2654998591768,55.7307159561857,104.278193847944,7.23545411582136,3.02150009059098,8.9029264667689
synthetic_canonical,degraded,causal_history,constacc,pair_weighted,all,latent_kinematic_truth,1024,7,94.1843669973421,57.2491025427274,116.340351231032,14.9703983850998,6.51872851711614,29.0848094543194
synthetic_canonical,degraded,causal_history,constacc,independent_event_weighted,all,latent_kinematic_truth,1024,7,94.9554229910222,57.3349020335686,116.344202456887,15.0432998846473,6.51872851711614,29.1526715419422
synthetic_canonical,degraded,causal_history,constturn,pair_weighted,all,latent_kinematic_truth,1024,7,73.0029449329315,56.4099288721074,108.962835178123,8.90950656899347,4.08509104257176,15.8063924920769
synthetic_canonical,degraded,causal_history,constturn,independent_event_weighted,all,latent_kinematic_truth,1024,7,73.6956915010954,56.4112189953553,108.962835178123,9.01231497451859,4.08509104257176,16.9019845323734
synthetic_in_distribution,ideal,same_information,expanded_warm_mean_v1,pair_weighted,all,latent_kinematic_truth,120000,100,25.42799638048,19.0993392030328,46.9993084699143,2.06152570421252,0.483200355455618,4.8691670381239
synthetic_in_distribution,ideal,same_information,expanded_warm_mean_v1,independent_event_weighted,all,latent_kinematic_truth,120000,100,25.4279963804798,19.0993392030328,46.9993084699143,2.06152570421251,0.483200355455618,4.8691670381239
synthetic_in_distribution,ideal,same_information,constvel,pair_weighted,all,latent_kinematic_truth,120000,100,0.511600965054538,0.0952630128015128,1.21105729326499,2.04640386021817,0.381052051206932,4.84422917306976
synthetic_in_distribution,ideal,same_information,constvel,independent_event_weighted,all,latent_kinematic_truth,120000,100,0.511600965054534,0.0952630128015128,1.21105729326499,2.04640386021815,0.381052051206932,4.84422917306976
synthetic_in_distribution,ideal,causal_history,expanded_warm_mean_v1,pair_weighted,all,latent_kinematic_truth,119900,100,25.4317959242441,19.1018616666672,47.0061738053385,2.06138020530258,0.483147056092851,4.8691670381239
synthetic_in_distribution,ideal,causal_history,expanded_warm_mean_v1,independent_event_weighted,all,latent_kinematic_truth,119900,100,25.4317959242444,19.1018616666672,47.0061738053385,2.0613802053026,0.483147056092851,4.8691670381239
synthetic_in_distribution,ideal,causal_history,constvel,pair_weighted,all,latent_kinematic_truth,119900,100,0.511558100542503,0.0952630128015128,1.21105729326499,2.04623240217003,0.381052051206932,4.84422917306976
