domain,profile,comparisonFamily,comparatorModelID,eventCount,confidenceLevel,meanPositionRMSEDifferenceMeters,positionDifferenceLower,positionDifferenceUpper,meanVelocityRMSEDifferenceMetersPerSecond,velocityDifferenceLower,velocityDifferenceUpper
synthetic_canonical,ideal,same_information,constvel,7,0.95,13.3246641614159,7.01226716320246,19.6370611596294,0.0215147850360786,-0.0148966331883143,0.0579262032604716
synthetic_canonical,ideal,causal_history,constvel,7,0.95,13.3231805106119,7.01059891636671,19.6357621048571,0.0215069029392791,-0.0149273590050656,0.0579411648836238
synthetic_canonical,ideal,causal_history,constacc,7,0.95,13.4995228134522,7.15341110074657,19.8456345261578,0.726876114300104,-0.0143577090764814,1.46810993767669
synthetic_canonical,ideal,causal_history,constturn,7,0.95,13.4828541511586,7.12573192634641,19.8399763759707,0.660477923472904,-0.100099536626982,1.42105538357279
synthetic_canonical,empirical_timing,same_information,constvel,7,0.95,8.78039629111742,3.13825061334088,14.422541968894,0.178318703990727,-0.139349086124597,0.495986494106052
synthetic_canonical,empirical_timing,causal_history,constvel,7,0.95,8.791296095276,3.13326871301926,14.4493234775327,0.178672914715886,-0.139721727871721,0.497067557303493
synthetic_canonical,empirical_timing,causal_history,constacc,7,0.95,16.6364741333357,10.3308837914659,22.9420644752055,1.78534266020853,0.154459946676736,3.41622537374032
synthetic_canonical,empirical_timing,causal_history,constturn,7,0.95,16.2334641445775,8.20024468411464,24.2666836050404,1.70058989287641,-0.190099468375898,3.59127925412871
synthetic_canonical,degraded,same_information,constvel,7,0.95,2.20272422961988,1.254278294276,3.15117016496375,0.0112710641017378,-0.105311156724926,0.127853284928401
synthetic_canonical,degraded,causal_history,constvel,7,0.95,2.20604293717984,1.25835142569923,3.15373444866044,0.0110384178756365,-0.10590114612469,0.127977981875963
synthetic_canonical,degraded,causal_history,constacc,7,0.95,-18.900489423259,-40.1267812259224,2.32580237940435,-8.66923594967312,-12.6299055150583,-4.70856638428791
synthetic_canonical,degraded,causal_history,constturn,7,0.95,1.83189036310248,-13.2572249286046,16.9210056548095,-2.60521051607263,-6.35833367434457,1.14791264219931
synthetic_in_distribution,ideal,same_information,constvel,100,0.95,23.1809103897654,21.329583930816,25.0322368487148,0.0219854831172654,0.0121819554995181,0.0317890107350127
synthetic_in_distribution,ideal,causal_history,constvel,100,0.95,23.183918663314,21.3320211544629,25.0358161721651,0.0220086859748187,0.012196685242265,0.0318206867073724
synthetic_in_distribution,ideal,causal_history,constacc,100,0.95,23.5774037917863,21.7154994244015,25.4393081591712,1.59594919986402,1.45697455938223,1.73492384034581
